Hybrid Model,Max Depth,Min Samples Split,Criterion,Accuracy,F1-Score,ROC AUC,Precision,Recall
HybridOption.NONE,10,3,f1_proxy_impurity,0.7854666666666666,0.5116470687512248,0.6861898299002787,0.5200018132917305,0.5078137266020103
HybridOption.NONE,3,100,f1_proxy_impurity,0.7856,0.5115736231713275,0.686007670848007,0.5204605146400444,0.5070548963898398
HybridOption.NONE,7,25,f1_gini,0.7862666666666666,0.5115668177494683,0.6869548839406133,0.529824974110335,0.5080432023597325
HybridOption.NONE,7,2,f1_gini,0.7841333333333333,0.5108275533943644,0.686812353469899,0.5238600822870991,0.5114797177645802
HybridOption.NONE,10,2,f1_proxy_impurity,0.7844333333333333,0.5105168375133348,0.6855831743108841,0.5174927541329606,0.507962322092342
HybridOption.NONE,7,50,f1_proxy_impurity,0.7886,0.5105130591178999,0.6845892558947732,0.527449496078899,0.4978247190324651
HybridOption.NONE,7,3,f1_gini,0.7839333333333334,0.5103205560845696,0.686466916808086,0.5234241767969119,0.5108736431643873
HybridOption.NONE,5,25,f1_gini,0.7880333333333334,0.5102417188964476,0.6854542417633741,0.5353409613991845,0.5007198244165358
HybridOption.NONE,7,50,f1_gini,0.7877,0.5101492273443566,0.6856189386401138,0.5349503246587215,0.5017295961130908
HybridOption.NONE,10,50,f1_gini,0.7885666666666666,0.5100173581012506,0.6854697893256925,0.5359912055288549,0.4997732460278872
HybridOption.NONE,5,3,f1_gini,0.787,0.5095973271225568,0.6852932739091807,0.5331047977633915,0.5021046740814792
HybridOption.NONE,5,2,f1_gini,0.787,0.5095276934723353,0.6852394992154872,0.5331072155583625,0.5019542981416296
HybridOption.NONE,7,5,f1_gini,0.7838666666666667,0.5094890814751849,0.6858219459814912,0.5235113575600314,0.5091992764713907
HybridOption.NONE,15,50,f1_gini,0.7894,0.5094001376304084,0.6848536790142479,0.5376868235899641,0.4965722363818825
HybridOption.NONE,5,5,f1_gini,0.7869333333333334,0.5093424453518196,0.6850855790880904,0.5329866673369603,0.5016469422344978
HybridOption.NONE,7,10,f1_gini,0.7845666666666667,0.5093269555170444,0.6856682484371873,0.5252076413561727,0.5075283021287522
HybridOption.NONE,10,10,f1_gini,0.7793,0.5092875062441152,0.6869575867360461,0.5106697508284896,0.5205033674514168
HybridOption.NONE,5,10,f1_gini,0.7872333333333333,0.5092639559168538,0.6849379051508505,0.5337036230747894,0.5007108814690944
HybridOption.NONE,5,100,f1_proxy_impurity,0.7867333333333334,0.5091079567369922,0.6839452407833001,0.5233617528728115,0.4993578235189834
HybridOption.NONE,10,2,f1_gini,0.7790333333333332,0.5089365811517981,0.6868961154252647,0.5125017132655955,0.5207446154871944
HybridOption.NONE,10,5,f1_proxy_impurity,0.7844666666666666,0.5088953150379968,0.6843533028796251,0.5178901500594261,0.5044808225541682
HybridOption.NONE,10,3,f1_gini,0.7779333333333334,0.5088555809117924,0.6869894808127862,0.5091289873423358,0.5229929104070091
